Time,Signal
0.0,13.974691494688162
0.001,15.578103101979858
0.002,17.069173215995384
0.003,18.433969110468055
0.004,19.659980098956318
0.005,20.736273044631275
0.006,21.653628521798275
0.007,22.404655808330098
0.008,22.983885156205147
0.009000000000000001,23.38783607667301
0.01,23.61506068346979
0.011,23.666161457994008
0.012,23.543783130251043
0.013000000000000001,23.252578704364936
0.014,22.799149993142937
0.015,22.191963358141592
0.016,21.44124167553959
0.017,20.55883385958354
0.018000000000000002,19.55806357030277
0.019,18.453559006658715
0.02,17.261065936636786
0.021,15.997246338645752
0.022,14.679465220959917
0.023,13.325568345217931
0.024,11.953653704005358
0.025,10.581839689585527
0.026000000000000002,9.228032939679228
0.027,7.909698856106626
0.028,6.643637762885704
0.029,5.445769602339819
0.03,4.330929961725671
0.031,3.3126800801797893
0.032,2.40313330821116
0.033,1.612800281818437
0.034,0.9504548332956624
0.035,0.4230223940218032
0.036000000000000004,0.03549235447686527
0.037,-0.20914446282778698
0.038,-0.30993238683028324
0.039,-0.2679610433543509
0.04,-0.08634891106354559
0.041,0.22979951818385302
0.042,0.6734624376089862
0.043000000000000003,1.235794409097478
0.044,1.906243833590005
0.045,2.6726927000230942
0.046,3.521616814326995
0.047,4.438264443080415
0.048,5.4068510663576586
0.049,6.410767724240818
0.05,7.43280026417079
0.051000000000000004,8.455356654107256
0.052000000000000005,9.460699421226005
0.053,10.431180208982209
0.054,11.349473417683182
0.055,12.198805905599453
0.056,12.963179778931826
0.057,13.627585388957757
0.058,14.178201782205905
0.059000000000000004,14.602582012861884
0.06,14.889820923627855
0.061,15.030703229338876
0.062,15.017829993766902
0.063,14.845721870839288
0.064,14.51089778326058
0.065,14.011928030280387
0.066,13.349461147902483
0.067,12.526224184823597
0.068,11.546996401362113
0.069,10.4185567420786
0.07,9.149605771205753
0.07100000000000001,7.750663088973968
0.07200000000000001,6.233941562149798
0.073,4.613199999496106
0.074,2.903576178556311
0.075,1.121402380594128
0.076,-0.7159941875420199
0.077,-2.5905035152572626
0.078,-4.483454727536216
0.079,-6.375844994435525
0.08,-8.248572479553005
0.081,-10.082670350657832
0.082,-11.859538868785641
0.083,-13.561172603956095
0.084,-15.170379895738307
0.085,-16.670991784150218
0.08600000000000001,-18.048057779323386
0.08700000000000001,-19.28802601502172
0.088,-20.378905539061016
0.089,-21.310408730119967
0.09,-22.074072092183112
0.091,-22.663353961408205
0.092,-23.073707961785853
0.093,-23.302631361557737
0.094,-23.34968780780674
0.095,-23.216504247642362
0.096,-22.906742176633657
0.097,-22.42604368424449
0.098,-21.78195308771886
0.099,-20.983815255973017
0.1,-20.042652019576572
0.101,-18.971018338063566
0.10200000000000001,-17.782840148098042
0.10300000000000001,-16.493236042231167
0.10400000000000001,-15.118325125291094
0.105,-13.675023561397662
0.106,-12.180832457168824
0.107,-10.653619824311823
0.108,-9.111399426361501
0.109,-7.5721093392137275
0.11,-6.053393043161095
0.111,-4.572385815712979
0.112,-3.145509110393343
0.113,-1.788275488241979
0.114,-0.5151065176283556
0.115,0.6608341236277528
0.116,1.727790319408367
0.117,2.6755441699407276
0.11800000000000001,3.495526096647559
0.11900000000000001,4.1809031387979925
0.12,4.726644473113421
0.121,5.1295634878551235
0.122,5.388336050112892
0.123,5.5034949149716805
0.124,5.477400533883885
0.125,5.314188822893158
0.126,5.019696745406108
0.127,4.601366845204176
0.128,4.0681321297362345
0.129,3.430282948081789
0.13,2.699317729257345
0.131,1.88777964201011
0.132,1.009081404515705
0.133,0.07732060946853281
0.134,-0.8929119646668331
0.135,-1.8867285131502216
0.136,-2.889142253466127
0.137,-3.8852647763941897
0.138,-4.860500142297614
0.139,-5.800733227522737
0.14,-6.692509920162272
0.14100000000000001,-7.523206889446499
0.14200000000000002,-8.281188806833685
0.14300000000000002,-8.955951077254422
0.14400000000000002,-9.538246343369014
0.145,-10.020193251271724
0.146,-10.39536620971114
0.147,-10.658865133267962
0.148,-10.807364429548151
0.149,-10.839140767692713
0.15,-10.754079446689541
0.151,-10.553659463381887
0.152,-10.240917658014986
0.153,-9.820392586031533
0.154,-9.29804902512228
0.155,-8.68118427293068
0.156,-7.978317620177952
0.157,-7.19906459344237
0.158,-6.353997748802076
0.159,-5.454495959759196
0.16,-4.51258427836825
0.161,-3.5407665557278
0.162,-2.5518530857734767
