Time,Signal
0.0,7.353371151128519
0.001,7.4621777032046595
0.002,7.56925252327042
0.003,7.674531021610327
0.004,7.777949488942819
0.005,7.8794451438216315
0.006,7.978956179350374
0.007,8.076421809172663
0.008,8.171782312700739
0.009000000000000001,8.264979079546151
0.01,8.355954653116878
0.011,8.444652773345855
0.012,8.531018418516762
0.013000000000000001,8.614997846153623
0.014,8.696538632941639
0.015,8.775589713647484
0.016,8.852101419008198
0.017,8.926025512558661
0.018000000000000002,8.997315226368608
0.019,9.065925295661053
0.02,9.131811992284973
0.021,9.194933157016061
0.022,9.255248230660463
0.023,9.312718283937306
0.024,9.36730604611703
0.025,9.418975932393465
0.026000000000000002,9.467694069968815
0.027,9.513428322831704
0.028,9.556148315209647
0.029,9.595825453678406
0.03,9.632432947911807
0.031,9.665945830056875
0.032,9.696340972720167
0.033,9.723597105552468
0.034,9.747694830420219
0.035,9.768616635153142
0.036000000000000004,9.786346905858895
0.037,9.800871937796632
0.038,9.812179944802741
0.039,9.82026106726311
0.04,9.825107378627578
0.041,9.826712890463481
0.042,9.825073556046316
0.043000000000000003,9.820187272486935
0.044,9.812053881395796
0.045,9.800675168086048
0.046,9.78605485931849
0.047,9.768198619592619
0.048,9.747114045989212
0.049,9.722810661571087
0.05,9.695299907349893
0.051000000000000004,9.66459513282797
0.052000000000000005,9.630711585125455
0.053,9.59366639670408
0.054,9.553478571700104
0.055,9.510168970880155
0.056,9.463760295234698
0.057,9.414277068225097
0.058,9.36174561670126
0.059000000000000004,9.30619405050796
0.06,9.247652240798988
0.061,9.186151797079331
0.062,9.121726042996583
0.063,9.054409990903805
0.064,8.984240315217049
0.065,8.911255324591677
0.066,8.835494932942575
0.067,8.757000629334266
0.068,8.675815446767794
0.069,8.591983929892125
0.07,8.505552101668654
0.07100000000000001,8.416567429018196
0.07200000000000001,8.325078787480614
0.073,8.231136424918022
0.074,8.134791924293172
0.075,8.036098165555384
0.076,7.9351092866669735
0.077,7.831880643803841
0.078,7.726468770764418
0.079,7.61893133762177
0.08,7.5093271086542
0.081,7.397715899590171
0.082,7.284158534203871
0.083,7.1687168002981565
0.084,7.05145340511204
0.085,6.9324319301902335
0.08600000000000001,6.811716785752624
0.08700000000000001,6.689373164601847
0.088,6.565466995607386
0.089,6.44006489680487
0.09,6.313234128149485
0.091,6.185042543962458
0.092,6.055558545109843
0.093,5.924851030952888
0.094,5.792989351109225
0.095,5.660043257064351
0.096,5.526082853672644
0.097,5.391178550587279
0.098,5.2554010136582425
0.099,5.118821116337562
0.1,4.981509891130722
0.101,4.843538481133045
0.10200000000000001,4.704978091689629
0.10300000000000001,4.565899942217133
0.10400000000000001,4.4263752182255
0.105,4.286475023577326
0.106,4.146270333022243
0.107,4.005831945043399
0.108,3.8652304350525575
0.109,3.724536108970024
0.11,3.5838189572250907
0.111,3.4431486092121757
0.112,3.3025942882373585
0.113,3.1622247669893526
0.114,3.022108323568517
0.115,2.882312698106751
0.116,2.742905050010533
0.117,2.6039519158587647
0.11800000000000001,2.4655191679862467
0.11900000000000001,2.32767197378301
0.12,2.1904747557389386
0.121,2.0539911522623493
0.122,1.9182839793004378
0.123,1.7834151927886224
0.124,1.649445851955095
0.125,1.5164360835058917
0.126,1.3844450467150733
0.127,1.2535308994436125
0.128,1.1237507651096963
0.129,0.995160700632286
0.13,0.8678156653687422
0.131,0.7417694910664641
0.132,0.6170748528474218
0.133,0.4937832412436067
0.134,0.3719449353002694
0.135,0.25160897676296223
0.136,0.1328231453633053
0.137,0.015633935217350348
0.138,-0.09991346765051667
0.139,-0.21377520664636418
0.14,-0.3259087747973566
0.14100000000000001,-0.4362730337845392
0.14200000000000002,-0.5448282318090735
0.14300000000000002,-0.6515360202843062
0.14400000000000002,-0.7563594693471111
0.145,-0.8592630821829919
0.146,-0.9602128081605736
0.147,-1.0591760547719993
0.148,-1.1561216983770468
0.149,-1.2510200937496312
0.15,-1.343843082426529
0.151,-1.4345639998591753
0.152,-1.5231576813704277
0.153,-1.6096004669192254
0.154,-1.6938702046771446
0.155,-1.7759462534217847
0.156,-1.8558094837530263
0.157,-1.9334422781391782
0.158,-2.0088285298009367
0.159,-2.08195364044223
0.16,-2.152804516837806
0.161,-2.2213695662884887
0.162,-2.287638690955968
0.163,-2.3516032810897913
0.164,-2.4132562071603028
0.165,-2.472591810912038
0.166,-2.5296058953529847
0.167,-2.5842957136960205
0.168,-2.6366599572695737
0.169,-2.6866987424155018
0.17,-2.734413596392826
0.171,-2.779807442306864
0.17200000000000001,-2.8228845830839546
0.17300000000000001,-2.8636506845127405
0.17400000000000002,-2.9021127573736925
0.17500000000000002,-2.9382791386791887
0.176,-2.9721594720471787
